x=-2165.480 y=61.310 z=-114.820
x=-2819.670 y=80.920 z=-202.790
x=-1798.790 y=62.480 z=-1923.720
x=-1052.077 y=75.531 z=-1732.026
x=-505.640 y=68.130 z=-1044.620
x=74.110 y=69.730 z=-2164.580
x=909.780 y=87.790 z=-376.230
x=1775.670 y=68.320 z=-1657.150
x=2406.970 y=54.720 z=-1126.100 under
x=2382.520 y=60.280 z=-1064.660
x=2484.660 y=63.670 z=-246.980
x=2719.000 y=61.130 z=1293.480
x=1351.460 y=100.490 z=2857.880
x=1556.460 y=54.880 z=2256.850
x=2008.310 y=59.270 z=-3023.540
x=2015.880 y=57.200 z=3111.260
x=904.3 y=61.080 z=-2645.75
x=705.278 y=89.756 z=-291.211
x=127.551 y=183.793 z=-279.404
x=-587.384 y=94.616 z=-2396.541
x=384.992 y=75.354 z=-2709.567
x=1139.114 y=65.614 z=-1826.261
x=1762.866 y=67.343 z=-1610.052
x=1319.275 y=63.547 z=-1868.756
x=-106.564 y=68.841 z=-1036.928
x=17.331 y=73.586 z=-1125.821
x=206.468 y=83.932 z=-674.973
x=345.769 y=103.076 z=-436.606
x=500.506 y=139.492 z=-2642.412
x=12.006 y=87.987 z=-893.430 above
x=1169.133 y=99.724 z=296.799
x=1201.963 y=120.949 z=158.178
x=685.529 y=70.229 z=-2582.775
x=2062.220 y=62.480 z=-829.210
x=2303.530 y=61.900 z=-783.752
x=-1268.180 y=69.880 z=866.940
x=-12.170 y=131.978 z=1943.420
x=-409.056 y=67.677 z=2517.608
x=-1762.059 y=79.722 z=959.919
x=-33.751 y=73.604 z=1262.575
x=433.140 y=94.510 z=960.530
x=1984.200 y=62.540 z=-518.030
x=2167.715 y=74.638 z=1595.086
x=1974.653 y=61.523 z=-77.063
x=1833.126 y=67.818 z=95.544
x=1182.540 y=118.840 z=191.320
x=1189.540 y=100.330 z=300.770
x=1196.720 y=114.280 z=326.860
x=911.770 y=71.350 z=-80.680
x=855.570 y=67.750 z=-18.770
x=966.787 y=83.319 z=-235.081
x=2015.810 y=68.910 z=-731.470
x=1774.217 y=65.313 z=-1625.113
x=1183.006 y=77.845 z=-950.229
